('Ano','Mês','Países','Valor US$ FOB'),
(2026,'Abril','Afeganistão',20856),
(2026,'Abril','Aland, Ilhas',71665),
(2026,'Abril','Albânia',292906),
(2026,'Abril','Alemanha',1156555666),
(2026,'Abril','Andorra',40),
(2026,'Abril','Angola',148),
(2026,'Abril','Anguilla',3374),
(2026,'Abril','Antártica',644787),
(2026,'Abril','Argentina',1177574026),
(2026,'Abril','Argélia',13069808),
(2026,'Abril','Armênia',3396675),
(2026,'Abril','Aruba',1378),
(2026,'Abril','Arábia Saudita',289775567),
(2026,'Abril','Austrália',135713610),
(2026,'Abril','Azerbaijão',192942),
(2026,'Abril','Bancos Centrais',2641),
(2026,'Abril','Bangladesh',35249351),
(2026,'Abril','Barein',2902745),
(2026,'Abril','Belarus',188722),
(2026,'Abril','Belize',8823),
(2026,'Abril','Benin',39179),
(2026,'Abril','Bermudas',30248),
(2026,'Abril','Bolívia',83237756),
(2026,'Abril','Botsuana',94362),
(2026,'Abril','Brasil',39331677),
(2026,'Abril','Bulgária',9520334),
(2026,'Abril','Butão',71794),
(2026,'Abril','Bélgica',173239857),
(2026,'Abril','Bósnia-Herzegovina',1007550),
(2026,'Abril','Camarões',3315154),
(2026,'Abril','Camboja',24893454),
(2026,'Abril','Canadá',274860543),
(2026,'Abril','Catar',8121703),
(2026,'Abril','Cayman, Ilhas',913),
(2026,'Abril','Cazaquistão',55503672),
(2026,'Abril','Chade',11),
(2026,'Abril','Chile',469685807),
(2026,'Abril','China',6054116352),
(2026,'Abril','Chipre',2057909),
(2026,'Abril','Colômbia',209950293),
(2026,'Abril','Comores',481),
(2026,'Abril','Congo, República Democrática',2932338),
(2026,'Abril','Cook, Ilhas',2),
(2026,'Abril','Coreia do Norte',9752),
(2026,'Abril','Coreia do Sul',656060606),
(2026,'Abril','Costa Rica',11165649),
(2026,'Abril','Costa do Marfim',7248514),
(2026,'Abril','Coveite (Kuweit)',358),
(2026,'Abril','Croácia',4822468),
(2026,'Abril','Cuba',208429),
(2026,'Abril','Curaçao',103446),
(2026,'Abril','Dinamarca',93001398),
(2026,'Abril','Dominica',76),
(2026,'Abril','Egito',103642887),
(2026,'Abril','El Salvador',1383244),
(2026,'Abril','Emirados Árabes Unidos',13951759),
(2026,'Abril','Equador',13582224),
(2026,'Abril','Eritreia',1191),
(2026,'Abril','Eslováquia',34721537),
(2026,'Abril','Eslovênia',24587735),
(2026,'Abril','Espanha',308901016),
(2026,'Abril','Estados Unidos',3096633032),
(2026,'Abril','Estônia',4755557),
(2026,'Abril','Etiópia',153754),
(2026,'Abril','Filipinas',25480089),
(2026,'Abril','Finlândia',67582610),
(2026,'Abril','França',439310716),
(2026,'Abril','Gabão',418103),
(2026,'Abril','Gana',4701682),
(2026,'Abril','Geórgia',918964),
(2026,'Abril','Gibraltar',282334),
(2026,'Abril','Granada',129),
(2026,'Abril','Grécia',4137083),
(2026,'Abril','Guatemala',9598198),
(2026,'Abril','Guiana',136187619),
(2026,'Abril','Guiné-Bissau',178730),
(2026,'Abril','Gâmbia',203),
(2026,'Abril','Haiti',103921),
(2026,'Abril','Honduras',4160913),
(2026,'Abril','Hong Kong',78873686),
(2026,'Abril','Hungria',47431063),
(2026,'Abril','Ilha de Man',146),
(2026,'Abril','Indonésia',244158317),
(2026,'Abril','Iraque',48104),
(2026,'Abril','Irlanda',100010023),
(2026,'Abril','Irã',1832268),
(2026,'Abril','Islândia',922964),
(2026,'Abril','Israel',160213045),
(2026,'Abril','Itália',674607644),
(2026,'Abril','Jamaica',1038),
(2026,'Abril','Japão',569406672),
(2026,'Abril','Jordânia',15407608),
(2026,'Abril','Laos',1156611),
(2026,'Abril','Letônia',3623779),
(2026,'Abril','Liechtenstein',1200802),
(2026,'Abril','Lituânia',3932295),
(2026,'Abril','Luxemburgo',3398292),
(2026,'Abril','Líbano',187119),
(2026,'Abril','Líbia',515861),
(2026,'Abril','Macau',229329),
(2026,'Abril','Macedônia',3016424),
(2026,'Abril','Madagascar',211621),
(2026,'Abril','Malta',820315),
(2026,'Abril','Malásia',135804635),
(2026,'Abril','Marianas do Norte, Ilhas',725),
(2026,'Abril','Marrocos',269771114),
(2026,'Abril','Marshall, Ilhas',50407),
(2026,'Abril','Maurício',11524),
(2026,'Abril','Mayotte',25),
(2026,'Abril','Mianmar',583828),
(2026,'Abril','Micronésia',801),
(2026,'Abril','Moldávia',229204),
(2026,'Abril','Mongólia',115),
(2026,'Abril','Montenegro',783),
(2026,'Abril','Montserrat',76),
(2026,'Abril','Moçambique',581118),
(2026,'Abril','México',614456434),
(2026,'Abril','Mônaco',539804),
(2026,'Abril','Namíbia',40525),
(2026,'Abril','Nauru',557439),
(2026,'Abril','Nepal',15841),
(2026,'Abril','Nicarágua',379422),
(2026,'Abril','Nigéria',84651427),
(2026,'Abril','Noruega',39750241),
(2026,'Abril','Nova Zelândia',9644885),
(2026,'Abril','Não Definido',203584),
(2026,'Abril','Níger',3250),
(2026,'Abril','Omã',8094556),
(2026,'Abril','Panamá',1371506),
(2026,'Abril','Paquistão',16982873),
(2026,'Abril','Paraguai',271517895),
(2026,'Abril','Países Baixos (Holanda)',191838008),
(2026,'Abril','Peru',149502869),
(2026,'Abril','Polinésia Francesa',1424),
(2026,'Abril','Polônia',83267377),
(2026,'Abril','Porto Rico',53212119),
(2026,'Abril','Portugal',113865682),
(2026,'Abril','Quirguistão',703),
(2026,'Abril','Quênia',27702),
(2026,'Abril','Reino Unido',241828245),
(2026,'Abril','República Dominicana',4167550),
(2026,'Abril','Reunião',256212),
(2026,'Abril','Romênia',49425110),
(2026,'Abril','Rússia',1337836733),
(2026,'Abril','Salomão, Ilhas',3018),
(2026,'Abril','Samoa',15380),
(2026,'Abril','Samoa Americana',19437),
(2026,'Abril','San Marino',1681125),
(2026,'Abril','Santa Helena',523),
(2026,'Abril','Seicheles',11121),
(2026,'Abril','Senegal',1032403),
(2026,'Abril','Serra Leoa',18326),
(2026,'Abril','Singapura',60243409),
(2026,'Abril','Somália',1461),
(2026,'Abril','Sri Lanka',7990594),
(2026,'Abril','Suazilândia',12551),
(2026,'Abril','Sudão do Sul',115),
(2026,'Abril','Suriname',768),
(2026,'Abril','Suécia',157984838),
(2026,'Abril','Suíça',244140149),
(2026,'Abril','São Cristóvão e Névis',2136),
(2026,'Abril','São Tomé e Príncipe',63),
(2026,'Abril','São Vicente e Granadinas',70656),
(2026,'Abril','Sérvia',5866781),
(2026,'Abril','Síria',37938),
(2026,'Abril','Tadjiquistão',3601),
(2026,'Abril','Tailândia',243690245),
(2026,'Abril','Taiwan (Formosa)',260545251),
(2026,'Abril','Tanzânia',97471),
(2026,'Abril','Tcheca, República',75154966),
(2026,'Abril','Togo',147),
(2026,'Abril','Toquelau',719),
(2026,'Abril','Trinidad e Tobago',43875833),
(2026,'Abril','Tunísia',5657248),
(2026,'Abril','Turcas e Caicos, Ilhas',5300),
(2026,'Abril','Turcomenistão',67665981),
(2026,'Abril','Turquia',110898352),
(2026,'Abril','Ucrânia',7697428),
(2026,'Abril','Uganda',13060),
(2026,'Abril','Uruguai',137896944),
(2026,'Abril','Uzbequistão',9738932),
(2026,'Abril','Vanuatu',318),
(2026,'Abril','Vaticano',1492),
(2026,'Abril','Venezuela',18155714),
(2026,'Abril','Vietnã',380339705),
(2026,'Abril','Virgens, Ilhas (Britânicas)',348546),
(2026,'Abril','Zimbábue',85148),
(2026,'Abril','Zâmbia',103653),
(2026,'Abril','África do Sul',95491150),
(2026,'Abril','Áustria',111318676),
(2026,'Abril','Índia',675615262),
(2026,'Março','Afeganistão',23423),
(2026,'Março','Aland, Ilhas',1302),
(2026,'Março','Albânia',630491),
(2026,'Março','Alemanha',1514600511),
(2026,'Março','Andorra',120),
(2026,'Março','Angola',273),
(2026,'Março','Anguilla',3306),
(2026,'Março','Antártica',31912),
(2026,'Março','Antígua e Barbuda',31661),
(2026,'Março','Argentina',1127684055),
(2026,'Março','Argélia',214264228),
(2026,'Março','Armênia',14650282),
(2026,'Março','Aruba',836),
(2026,'Março','Arábia Saudita',317843035),
(2026,'Março','Austrália',64553147),
(2026,'Março','Azerbaijão',1227),
(2026,'Março','Bancos Centrais',522),
(2026,'Março','Bangladesh',34322109),
(2026,'Março','Barbados',1013),
(2026,'Março','Barein',2684944),
(2026,'Março','Belarus',31083),
(2026,'Março','Belize',51790),
(2026,'Março','Benin',18738),
(2026,'Março','Bermudas',199063),
(2026,'Março','Bolívia',85778096),
(2026,'Março','Botsuana',8873),
(2026,'Março','Brasil',78630267),
(2026,'Março','Bulgária',9395283),
(2026,'Março','Burkina Faso',23),
(2026,'Março','Butão',34191),
(2026,'Março','Bélgica',239788924),
(2026,'Março','Bósnia-Herzegovina',1657035),
(2026,'Março','Cabo Verde',336),
(2026,'Março','Camarões',2153465),
(2026,'Março','Camboja',23958399),
(2026,'Março','Canadá',232639648),
(2026,'Março','Catar',37474009),
(2026,'Março','Cayman, Ilhas',1888),
(2026,'Março','Cazaquistão',33426932),
(2026,'Março','Chade',6),
(2026,'Março','Chile',429606023),
(2026,'Março','China',6664865606),
(2026,'Março','Chipre',396775),
(2026,'Março','Christmas (Navidad), Ilha',5),
(2026,'Março','Colômbia',166855715),
(2026,'Março','Comores',8993),
(2026,'Março','Congo',1233736),
(2026,'Março','Congo, República Democrática',19998998),
(2026,'Março','Coreia do Sul',610025834),
(2026,'Março','Costa Rica',12751682),
(2026,'Março','Costa do Marfim',9699959),
(2026,'Março','Coveite (Kuweit)',126908),
(2026,'Março','Croácia',2738254),
(2026,'Março','Cuba',172144),
(2026,'Março','Curaçao',220251),
(2026,'Março','Dinamarca',156157438),
(2026,'Março','Egito',147623909),
(2026,'Março','El Salvador',434471),
(2026,'Março','Emirados Árabes Unidos',131450666),
(2026,'Março','Equador',11319797),
(2026,'Março','Eslováquia',39054805),
(2026,'Março','Eslovênia',9592162),
(2026,'Março','Espanha',311184511),
(2026,'Março','Estados Unidos',3315336792),
(2026,'Março','Estônia',5719764),
(2026,'Março','Etiópia',130370),
(2026,'Março','Falkland (Malvinas)',128),
(2026,'Março','Filipinas',29291267),
(2026,'Março','Finlândia',74974008),
(2026,'Março','França',522208400),
(2026,'Março','Gabão',67591981),
(2026,'Março','Gana',74106391),
(2026,'Março','Geórgia',401696),
(2026,'Março','Gibraltar',209),
(2026,'Março','Grécia',6689787),
(2026,'Março','Guatemala',11409762),
(2026,'Março','Guiana',69522644),
(2026,'Março','Guiné',56),
(2026,'Março','Gâmbia',249),
(2026,'Março','Haiti',2438),
(2026,'Março','Honduras',3047998),
(2026,'Março','Hong Kong',88778366),
(2026,'Março','Hungria',50786892),
(2026,'Março','Ilha de Man',36000),
(2026,'Março','Indonésia',188826102),
(2026,'Março','Iraque',107261),
(2026,'Março','Irlanda',169755904),
(2026,'Março','Irã',849847),
(2026,'Março','Islândia',1173422),
(2026,'Março','Israel',93240434),
(2026,'Março','Itália',652935901),
(2026,'Março','Iêmen',56),
(2026,'Março','Jamaica',208),
(2026,'Março','Japão',472466063),
(2026,'Março','Jersey',8267),
(2026,'Março','Jordânia',948187),
(2026,'Março','Laos',1685474),
(2026,'Março','Lesoto',11306),
(2026,'Março','Letônia',2873523),
(2026,'Março','Libéria',4641),
(2026,'Março','Liechtenstein',1095218),
(2026,'Março','Lituânia',4870503),
(2026,'Março','Luxemburgo',4392707),
(2026,'Março','Líbano',61652),
(2026,'Março','Líbia',449763),
