Operation;Year;Month;Country;Value US$ FOB
Exportação;2022;Janeiro;Afeganistão;6900
Exportação;2022;Janeiro;Aland, Ilhas;2368
Exportação;2022;Janeiro;Albânia;5241283
Exportação;2022;Janeiro;Alemanha;475857887
Exportação;2022;Janeiro;Angola;58670243
Exportação;2022;Janeiro;Anguilla;62792
Exportação;2022;Janeiro;Antártica;67785
Exportação;2022;Janeiro;Antígua e Barbuda;5953042
Exportação;2022;Janeiro;Argentina;945039786
Exportação;2022;Janeiro;Argélia;119697786
Exportação;2022;Janeiro;Armênia;715108
Exportação;2022;Janeiro;Aruba;1940269
Exportação;2022;Janeiro;Arábia Saudita;191715582
Exportação;2022;Janeiro;Austrália;45168945
Exportação;2022;Janeiro;Azerbaijão;1489968
Exportação;2022;Janeiro;Bahamas;8918889
Exportação;2022;Janeiro;Bangladesh;96381647
Exportação;2022;Janeiro;Barbados;2329814
Exportação;2022;Janeiro;Barein;95851770
Exportação;2022;Janeiro;Belarus;1711780
Exportação;2022;Janeiro;Belize;944560
Exportação;2022;Janeiro;Benin;5362666
Exportação;2022;Janeiro;Bermudas;5413
Exportação;2022;Janeiro;Bolívia;126262850
Exportação;2022;Janeiro;Bonaire, Saint Eustatius e Saba;123870
Exportação;2022;Janeiro;Botsuana;117655
Exportação;2022;Janeiro;Brasil;427542
Exportação;2022;Janeiro;Brunei;91515
Exportação;2022;Janeiro;Bulgária;1136899
Exportação;2022;Janeiro;Burkina Faso;472988
Exportação;2022;Janeiro;Butão;1490
Exportação;2022;Janeiro;Bélgica;392066374
Exportação;2022;Janeiro;Bósnia-Herzegovina;242512
Exportação;2022;Janeiro;Cabo Verde;2328943
Exportação;2022;Janeiro;Camarões;4056437
Exportação;2022;Janeiro;Camboja;2059891
Exportação;2022;Janeiro;Canadá;353251472
Exportação;2022;Janeiro;Catar;18412677
Exportação;2022;Janeiro;Cayman, Ilhas;535493
Exportação;2022;Janeiro;Cazaquistão;900393
Exportação;2022;Janeiro;Chade;567
Exportação;2022;Janeiro;Chile;627074267
Exportação;2022;Janeiro;China;4417871873
Exportação;2022;Janeiro;Chipre;7730349
Exportação;2022;Janeiro;Colômbia;256490666
Exportação;2022;Janeiro;Comores;578051
Exportação;2022;Janeiro;Congo;4986272
Exportação;2022;Janeiro;Congo, República Democrática;4131560
Exportação;2022;Janeiro;Cook, Ilhas;9106
Exportação;2022;Janeiro;Coreia do Sul;474786420
Exportação;2022;Janeiro;Costa Rica;25905839
Exportação;2022;Janeiro;Costa do Marfim;5773378
Exportação;2022;Janeiro;Coveite (Kuweit);19194422
Exportação;2022;Janeiro;Croácia;15640355
Exportação;2022;Janeiro;Cuba;7608028
Exportação;2022;Janeiro;Curaçao;1836270
Exportação;2022;Janeiro;Dinamarca;26148692
Exportação;2022;Janeiro;Djibuti;224663
Exportação;2022;Janeiro;Dominica;306605
Exportação;2022;Janeiro;Egito;298828093
Exportação;2022;Janeiro;El Salvador;7752918
Exportação;2022;Janeiro;Emirados Árabes Unidos;233414699
Exportação;2022;Janeiro;Equador;71283249
Exportação;2022;Janeiro;Eritreia;617
Exportação;2022;Janeiro;Eslováquia;3282759
Exportação;2022;Janeiro;Eslovênia;15081795
Exportação;2022;Janeiro;Espanha;414398003
Exportação;2022;Janeiro;Estados Unidos;2196232994
Exportação;2022;Janeiro;Estônia;2107521
Exportação;2022;Janeiro;Etiópia;769136
Exportação;2022;Janeiro;Falkland (Malvinas);23068
Exportação;2022;Janeiro;Fiji;26143
Exportação;2022;Janeiro;Filipinas;96168625
Exportação;2022;Janeiro;Finlândia;16966391
Exportação;2022;Janeiro;França;238725262
Exportação;2022;Janeiro;Gabão;3685248
Exportação;2022;Janeiro;Gana;27509647
Exportação;2022;Janeiro;Geórgia;12164653
Exportação;2022;Janeiro;Gibraltar;356
Exportação;2022;Janeiro;Granada;600652
Exportação;2022;Janeiro;Grécia;15779632
Exportação;2022;Janeiro;Guadalupe;849852
Exportação;2022;Janeiro;Guatemala;20756079
Exportação;2022;Janeiro;Guiana;4181323
Exportação;2022;Janeiro;Guiana Francesa;756733
Exportação;2022;Janeiro;Guiné;5189819
Exportação;2022;Janeiro;Guiné Equatorial;1205110
Exportação;2022;Janeiro;Guiné-Bissau;33
Exportação;2022;Janeiro;Gâmbia;12196123
Exportação;2022;Janeiro;Haiti;4617032
Exportação;2022;Janeiro;Honduras;11059150
Exportação;2022;Janeiro;Hong Kong;105171303
Exportação;2022;Janeiro;Hungria;4765046
Exportação;2022;Janeiro;Ilha de Man;894413
Exportação;2022;Janeiro;Indonésia;222941523
Exportação;2022;Janeiro;Iraque;36838932
Exportação;2022;Janeiro;Irlanda;16752810
Exportação;2022;Janeiro;Irã;164670
Exportação;2022;Janeiro;Islândia;36572864
Exportação;2022;Janeiro;Israel;133444524
Exportação;2022;Janeiro;Itália;313503029
