year,month,country_name,usd_value
2026,Abril,Afeganistão,17220
2026,Abril,Albânia,12767309
2026,Abril,Alemanha,631464735
2026,Abril,Angola,35189877
2026,Abril,Anguilla,53285
2026,Abril,Antártica,615
2026,Abril,Antígua e Barbuda,2564074
2026,Abril,Argentina,1266538951
2026,Abril,Argélia,283548223
2026,Abril,Armênia,944481
2026,Abril,Aruba,4820358
2026,Abril,Arábia Saudita,209881899
2026,Abril,Austrália,57816467
2026,Abril,Azerbaijão,3896585
2026,Abril,Bahamas,25199519
2026,Abril,Bangladesh,286354633
2026,Abril,Barbados,2677039
2026,Abril,Barein,4368592
2026,Abril,Belarus,998325
2026,Abril,Belize,1860134
2026,Abril,Benin,11662673
2026,Abril,Bermudas,2934332
2026,Abril,Bolívia,125282667
2026,Abril,Bonaire Saint Eustatius e Saba,280305
2026,Abril,Botsuana,74725
2026,Abril,Brasil,5062883
2026,Abril,Brunei,87033
2026,Abril,Bulgária,155502283
2026,Abril,Burkina Faso,459892
2026,Abril,Bélgica,306509274
2026,Abril,Bósnia-Herzegovina,290488
2026,Abril,Cabo Verde,3833398
2026,Abril,Camarões,1642638
2026,Abril,Camboja,4188269
2026,Abril,Canadá,615007713
2026,Abril,Catar,19591155
2026,Abril,Cayman Ilhas,1488933
2026,Abril,Cazaquistão,6039153
2026,Abril,Chade,920838
2026,Abril,Chile,499464066
2026,Abril,China,11729731999
2026,Abril,Chipre,8286032
2026,Abril,Colômbia,390589842
2026,Abril,Comores,286250
2026,Abril,Congo,9618347
2026,Abril,Congo República Democrática,22216473
2026,Abril,Coreia do Sul,504721675
2026,Abril,Costa Rica,34343829
2026,Abril,Costa do Marfim,16578748
2026,Abril,Coveite (Kuweit),13867264
2026,Abril,Croácia,3640628
2026,Abril,Cuba,27678465
2026,Abril,Curaçao,5602572
2026,Abril,Dinamarca,41675790
2026,Abril,Djibuti,807128
2026,Abril,Dominica,509971
2026,Abril,Egito,243755856
2026,Abril,El Salvador,14992077
2026,Abril,Emirados Árabes Unidos,159981353
2026,Abril,Equador,96173571
2026,Abril,Eslováquia,2318169
2026,Abril,Eslovênia,17122945
2026,Abril,Espanha,823897028
2026,Abril,Estados Unidos,3159151009
2026,Abril,Estônia,13801249
2026,Abril,Etiópia,2621959
2026,Abril,Faroe Ilhas,1855
2026,Abril,Fiji,39299
2026,Abril,Filipinas,215486124
2026,Abril,Finlândia,59822966
2026,Abril,França,353253000
2026,Abril,Gabão,4526197
2026,Abril,Gana,27032284
2026,Abril,Geórgia,37097468
2026,Abril,Geórgia do Sul e Sandwich do Sul Ilhas,5026
2026,Abril,Gibraltar,83678
2026,Abril,Granada,2202108
2026,Abril,Groenlândia,15223
2026,Abril,Grécia,52333987
2026,Abril,Guadalupe,857364
2026,Abril,Guam,15462
2026,Abril,Guatemala,31957048
2026,Abril,Guiana,35791660
2026,Abril,Guiana Francesa,1670336
2026,Abril,Guiné,23053114
2026,Abril,Guiné Equatorial,2514622
2026,Abril,Guiné-Bissau,429752
2026,Abril,Gâmbia,26077504
2026,Abril,Haiti,7825888
2026,Abril,Heard e ilhas mcdonald Ilha,692269
2026,Abril,Honduras,18382503
2026,Abril,Hong Kong,118160751
2026,Abril,Hungria,3548975
2026,Abril,Ilha de Man,945123
2026,Abril,Indonésia,525024553
2026,Abril,Iraque,71050725
2026,Abril,Irlanda,19667870
2026,Abril,Irã,341649140
2026,Abril,Islândia,20721538
2026,Abril,Israel,49459784
2026,Abril,Itália,584107482
2026,Abril,Iêmen,16935316
2026,Abril,Jamaica,9996974
2026,Abril,Japão,561592474
2026,Abril,Jordânia,45153133
2026,Abril,Laos,1207778
2026,Abril,Lesoto,2849
2026,Abril,Letônia,9341933
2026,Abril,Libéria,58344439
2026,Abril,Liechtenstein,4512619
2026,Abril,Lituânia,2979986
2026,Abril,Luxemburgo,4880556
2026,Abril,Líbano,54570352
2026,Abril,Líbia,35126659
2026,Abril,Macau,130905
2026,Abril,Macedônia,3345341
2026,Abril,Madagascar,1132227
2026,Abril,Malavi,378276
2026,Abril,Maldivas,2261291
2026,Abril,Mali,379956
2026,Abril,Malta,15439039
2026,Abril,Malásia,154401993
2026,Abril,Marrocos,50416943
2026,Abril,Marshall Ilhas,36161229
2026,Abril,Martinica,545757
2026,Abril,Mauritânia,15056789
2026,Abril,Maurício,5281049
2026,Abril,Mayotte,178296
2026,Abril,Mianmar,417238
2026,Abril,Micronésia,28706
2026,Abril,Moldávia,58783
2026,Abril,Mongólia,340004
2026,Abril,Montenegro,6050705
2026,Abril,Montserrat,20161
2026,Abril,Moçambique,1496831
2026,Abril,México,744352662
2026,Abril,Mônaco,585
2026,Abril,Namíbia,3328436
2026,Abril,Nepal,301114
2026,Abril,Nicarágua,6236657
2026,Abril,Nigéria,28660473
2026,Abril,Noruega,116845441
2026,Abril,Nova Caledônia,1921833
2026,Abril,Nova Zelândia,7723090
2026,Abril,Níger,109020
2026,Abril,Omã,50242520
2026,Abril,Palau,25849
2026,Abril,Palestina,4808845
2026,Abril,Panamá,240797778
2026,Abril,Papua Nova Guiné,617231
2026,Abril,Paquistão,255608940
2026,Abril,Paraguai,318952054
2026,Abril,Países Baixos (Holanda),1095367169
2026,Abril,Peru,283659752
2026,Abril,Polinésia Francesa,748030
2026,Abril,Polônia,247374484
2026,Abril,Porto Rico,20467736
2026,Abril,Portugal,96739848
2026,Abril,Quirguistão,92420
2026,Abril,Quênia,6142967
2026,Abril,Reino Unido,311014172
2026,Abril,República Centro-Africana,536232
2026,Abril,República Dominicana,55912299
2026,Abril,Reunião,359810
2026,Abril,Romênia,3817209
2026,Abril,Ruanda,36925
2026,Abril,Rússia,105505357
2026,Abril,Salomão Ilhas,119485
2026,Abril,Samoa,417363
2026,Abril,San Marino,31555
2026,Abril,Santa Lúcia,1074506
2026,Abril,Seicheles,1248404
2026,Abril,Senegal,21155187
2026,Abril,Serra Leoa,4413380
2026,Abril,Singapura,1130657400
2026,Abril,Sint Maarten,1430371
2026,Abril,Somália,10399914
2026,Abril,Sri Lanka,4254751
2026,Abril,Sudão,15526481
2026,Abril,Sudão do Sul,257184
2026,Abril,Suriname,5359706
2026,Abril,Suécia,60413333
2026,Abril,Suíça,324236406
2026,Abril,São Bartolomeu,77963
2026,Abril,São Cristóvão e Névis,511997
